CPT,NTEP,Price,Date
59.31056555605605,344738,17820.57,2020-11-20
66.37726887539176,308254,18687.45,2020-11-21
76.56571753818632,268226,18699.75,2020-11-22
60.47303381201014,294575,18422.28,2020-11-23
53.05736673377853,329673,18398.91,2020-11-24
56.254352219660625,358372,19172.52,2020-11-25
55.95337575905798,320210,18739.8,2020-11-26
55.47527450752039,318644,17151.44,2020-11-27
59.978623890016095,290882,17138.87,2020-11-28
67.02726039990803,261000,17732.42,2020-11-29
57.23788695932524,253811,18191.6,2020-11-30
55.925302681776955,374601,19709.73,2020-12-01
55.105882072162515,323679,18792.52,2020-12-02
62.72995520584482,343417,19226.97,2020-12-03
60.51072663858092,315514,19454.54,2020-12-04
65.51828949685647,279786,18670.49,2020-12-05
66.57493718645354,256105,19155.06,2020-12-06
64.28462050583174,297736,19377.66,2020-12-07
55.882744611144965,327753,19181.41,2020-12-08
53.53016529436434,317480,18318.87,2020-12-09
51.40656664851425,310120,18554.15,2020-12-10
54.58588669246652,301645,18247.76,2020-12-11
54.582539745116264,292647,18029.36,2020-12-12
70.7346212228646,273482,18803.44,2020-12-13
58.90395619211692,311293,19164.48,2020-12-14
57.154469238980816,317256,19276.59,2020-12-15
62.12741454387046,311825,19439.75,2020-12-16
71.48210696361105,306106,21379.48,2020-12-17
71.43132286434039,371342,22847.46,2020-12-18
75.34691068722405,340276,23150.79,2020-12-19
85.18971436851494,279250,23869.92,2020-12-20
85.64541040013786,267276,23490.58,2020-12-21
73.25442703856109,321256,22745.48,2020-12-22
76.93044803331098,333346,23824.99,2020-12-23
76.98192047486441,266122,23253.37,2020-12-24
78.289090812282,300533,23715.53,2020-12-25
86.22820586600979,271125,24693.58,2020-12-26
89.10412418000507,305121,26443.21,2020-12-27
96.08344815029841,305483,26246.58,2020-12-28
83.91357134427095,332853,27036.69,2020-12-29
99.03306830434842,334365,27376.37,2020-12-30
96.49870140679032,341206,28856.59,2020-12-31
111.93105411256523,255086,28982.56,2021-01-01
107.0417383129575,293409,29393.75,2021-01-02
100.029960302658,355123,32195.46,2021-01-03
103.58066426122392,368932,33000.78,2021-01-04
99.73361786428922,349895,32035.03,2021-01-05
108.21916612178546,393193,34046.67,2021-01-06
111.94847178893632,397456,36860.41,2021-01-07
118.14511431991114,354565,39486.04,2021-01-08
122.95703364823477,318018,40670.25,2021-01-09
130.08707690605394,327988,40240.72,2021-01-10
112.88147642988767,329587,38240.09,2021-01-11
112.74182220729797,332587,35544.94,2021-01-12
117.47367476023956,315524,34011.82,2021-01-13
120.78159597455465,334885,37393.13,2021-01-14
121.31853214243041,340326,39158.47,2021-01-15
121.55649123683669,304753,36828.52,2021-01-16
117.46990709220559,268623,36065.2,2021-01-17
114.02942949415208,310233,35793.01,2021-01-18
116.70268160577024,321446,36632.35,2021-01-19
108.94576057070282,310901,36020.13,2021-01-20
104.16872931462923,287117,35538.98,2021-01-21
